delito_key,delito_id,bien_jurídico,tipo_delito,subtipo_delito,modalidad
La vida y la Integridad corporal|Homicidio|Homicidio doloso|Con arma de fuego,1,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego
La vida y la Integridad corporal|Homicidio|Homicidio doloso|Con arma blanca,2,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca
La vida y la Integridad corporal|Homicidio|Homicidio doloso|Con otro elemento,3,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento
La vida y la Integridad corporal|Homicidio|Homicidio doloso|No especificado,4,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado
La vida y la Integridad corporal|Homicidio|Homicidio culposo|Con arma de fuego,5,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego
La vida y la Integridad corporal|Homicidio|Homicidio culposo|Con arma blanca,6,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca
La vida y la Integridad corporal|Homicidio|Homicidio culposo|En accidente de tránsito,7,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito
La vida y la Integridad corporal|Homicidio|Homicidio culposo|Con otro elemento,8,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento
La vida y la Integridad corporal|Homicidio|Homicidio culposo|No especificado,9,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado
La vida y la Integridad corporal|Lesiones|Lesiones dolosas|Con arma de fuego,10,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego
La vida y la Integridad corporal|Lesiones|Lesiones dolosas|Con arma blanca,11,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca
La vida y la Integridad corporal|Lesiones|Lesiones dolosas|Con otro elemento,12,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento
La vida y la Integridad corporal|Lesiones|Lesiones dolosas|No especificado,13,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado
La vida y la Integridad corporal|Lesiones|Lesiones culposas|Con arma de fuego,14,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego
La vida y la Integridad corporal|Lesiones|Lesiones culposas|Con arma blanca,15,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca
La vida y la Integridad corporal|Lesiones|Lesiones culposas|En accidente de tránsito,16,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito
La vida y la Integridad corporal|Lesiones|Lesiones culposas|Con otro elemento,17,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento
La vida y la Integridad corporal|Lesiones|Lesiones culposas|No especificado,18,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado
La vida y la Integridad corporal|Feminicidio|Feminicidio|Con arma de fuego,19,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego
La vida y la Integridad corporal|Feminicidio|Feminicidio|Con arma blanca,20,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca
La vida y la Integridad corporal|Feminicidio|Feminicidio|Con otro elemento,21,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento
La vida y la Integridad corporal|Feminicidio|Feminicidio|No especificado,22,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado
La vida y la Integridad corporal|Aborto|Aborto|Aborto,23,La vida y la Integridad corporal,Aborto,Aborto,Aborto
La vida y la Integridad corporal|Otros delitos que atentan contra la vida y la integridad corporal|Otros delitos que atentan contra la vida y la integridad corporal|Otros delitos que atentan contra la vida y la integridad corporal,24,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal
Libertad personal|Secuestro|Secuestro|Secuestro extorsivo,25,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo
Libertad personal|Secuestro|Secuestro|Secuestro con calidad de rehén,26,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén
Libertad personal|Secuestro|Secuestro|Secuestro para causar daño,27,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño
Libertad personal|Secuestro|Secuestro|Secuestro exprés,28,Libertad personal,Secuestro,Secuestro,Secuestro exprés
Libertad personal|Secuestro|Secuestro|Otro tipo de secuestros,29,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros
Libertad personal|Tráfico de menores|Tráfico de menores|Tráfico de menores,30,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores
Libertad personal|Rapto|Rapto|Rapto,31,Libertad personal,Rapto,Rapto,Rapto
Libertad personal|Otros delitos que atentan contra la libertad personal|Otros delitos que atentan contra la libertad personal|Otros delitos que atentan contra la libertad personal,32,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal
La libertad y la seguridad sexual|Abuso sexual|Abuso sexual|Abuso sexual,33,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual
La libertad y la seguridad sexual|Acoso sexual|Acoso sexual|Acoso sexual,34,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual
La libertad y la seguridad sexual|Hostigamiento sexual|Hostigamiento sexual|Hostigamiento sexual,35,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual
La libertad y la seguridad sexual|Violación simple|Violación simple|Violación simple,36,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple
La libertad y la seguridad sexual|Violación equiparada|Violación equiparada|Violación equiparada,37,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada
La libertad y la seguridad sexual|Incesto|Incesto|Incesto,38,La libertad y la seguridad sexual,Incesto,Incesto,Incesto
La libertad y la seguridad sexual|Otros delitos que atentan contra la libertad y la seguridad sexual|Otros delitos que atentan contra la libertad y la seguridad sexual|Otros delitos que atentan contra la libertad y la seguridad sexual,39,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual
El patrimonio|Robo|Robo a casa habitación|Con violencia,40,El patrimonio,Robo,Robo a casa habitación,Con violencia
El patrimonio|Robo|Robo a casa habitación|Sin violencia,41,El patrimonio,Robo,Robo a casa habitación,Sin violencia
El patrimonio|Robo|Robo de vehículo automotor|Robo de coche de 4 ruedas Con violencia,42,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia
El patrimonio|Robo|Robo de vehículo automotor|Robo de coche de 4 ruedas Sin violencia,43,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia
El patrimonio|Robo|Robo de vehículo automotor|Robo de motocicleta Con violencia,44,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia
El patrimonio|Robo|Robo de vehículo automotor|Robo de motocicleta Sin violencia,45,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia
