entidad,vecinos,distancias
0,"5, 15, 20","0.6918, 0.9917, 1.5080"
1,"13, 26, 14","1.3765, 1.8690, 1.9854"
2,"1, 13, 17","2.0405, 2.1851, 2.3886"
3,"19, 29, 17","1.5703, 2.3473, 2.6952"
4,"24, 27, 31","1.9399, 2.4424, 2.5099"
5,"0, 15, 18","0.6918, 0.8746, 1.1250"
6,"14, 10, 18","1.3975, 2.5528, 2.5665"
7,"23, 25, 18","0.6850, 1.3751, 1.3922"
8,"17, 27, 26","2.0403, 2.1513, 2.1973"
9,"12, 7, 31","0.9039, 1.5511, 1.7625"
10,"6, 14, 18","2.5528, 3.6795, 3.9917"
11,"27, 24, 8","2.4936, 3.3065, 3.4017"
12,"9, 7, 31","0.9039, 1.4644, 1.7421"
13,"1, 17, 14","1.3765, 1.7647, 1.8486"
14,"6, 13, 18","1.3975, 1.8486, 1.8798"
15,"5, 18, 0","0.8746, 0.8848, 0.9917"
16,"21, 20, 0","1.3925, 1.9092, 2.1427"
17,"26, 13, 24","1.3229, 1.7647, 2.0137"
18,"15, 5, 20","0.8848, 1.1250, 1.2042"
19,"29, 3, 31","1.0843, 1.5703, 2.2974"
20,"18, 15, 21","1.2042, 1.2975, 1.3156"
21,"20, 16, 0","1.3156, 1.3925, 2.1344"
22,"25, 23, 7","0.9492, 1.2008, 1.4529"
23,"7, 25, 22","0.6850, 1.1567, 1.2008"
24,"27, 4, 13","1.1525, 1.9399, 1.9734"
25,"22, 23, 18","0.9492, 1.1567, 1.2613"
26,"17, 1, 8","1.3229, 1.8690, 2.1973"
27,"24, 8, 17","1.1525, 2.1513, 2.4418"
28,"21, 16, 20","2.4531, 2.5066, 3.1163"
29,"19, 15, 20","1.0843, 1.8501, 1.8520"
30,"27, 24, 8","2.4498, 2.8804, 2.8806"
31,"15, 12, 9","1.2646, 1.7421, 1.7625"
